name,artist,performance,chroma,mode,onsets,length,onsetrate
Bach_WTC1_Landowska_Prelude_7_Major (H1).wav,Landowska,H1,7,Major,175,27.4669841269841,6.3712855838467
Bach_WTC1_Landowska_Prelude_7_Minor (H1).wav,Landowska,H1,7,Minor,237,48.7929931972789,4.85725479151824
Bach_WTC1_Landowska_Prelude_8_Major (H1).wav,Landowska,H1,8,Major,77,18.8549886621315,4.08379985688601
Bach_WTC1_Landowska_Prelude_8_Minor (H1).wav,Landowska,H1,8,Minor,111,28.6579818594104,3.87326646183743
Bach_WTC1_Landowska_Prelude_9_Major (H1).wav,Landowska,H1,9,Major,137,32.3469841269841,4.23532529221831
Bach_WTC1_Landowska_Prelude_9_Minor (H1).wav,Landowska,H1,9,Minor,114,25.9589795918367,4.39154395867892
Bach_WTC1_Leonhardt_Prelude_0_Major (H1).wav,Leonhardt,H1,0,Major,133,25.6329931972789,5.1886254163294
Bach_WTC1_Leonhardt_Prelude_0_Minor (H1).wav,Leonhardt,H1,0,Minor,150,21.7049886621315,6.91085364452199
Bach_WTC1_Leonhardt_Prelude_10_Major (H1).wav,Leonhardt,H1,10,Major,217,28.65,7.57417102966841
Bach_WTC1_Leonhardt_Prelude_10_Minor (H1).wav,Leonhardt,H1,10,Minor,99,46.9,2.11087420042644
Bach_WTC1_Leonhardt_Prelude_11_Major (H1).wav,Leonhardt,H1,11,Major,190,35.6469841269841,5.33004417212881
Bach_WTC1_Leonhardt_Prelude_11_Minor (H1).wav,Leonhardt,H1,11,Minor,98,21.2769841269841,4.60591592375695
Bach_WTC1_Leonhardt_Prelude_1_Major (H1).wav,Leonhardt,H1,1,Major,63,9.49798185941043,6.63298803182917
Bach_WTC1_Leonhardt_Prelude_1_Minor (H1).wav,Leonhardt,H1,1,Minor,111,36.9749886621315,3.00202931809638
Bach_WTC1_Leonhardt_Prelude_2_Major (H1).wav,Leonhardt,H1,2,Major,133,21.6149886621315,6.15313762495791
Bach_WTC1_Leonhardt_Prelude_2_Minor (H1).wav,Leonhardt,H1,2,Minor,209,33.1,6.31419939577039
Bach_WTC1_Leonhardt_Prelude_3_Major (H1).wav,Leonhardt,H1,3,Major,176,31.7359863945578,5.54575483528002
Bach_WTC1_Leonhardt_Prelude_3_Minor (H1).wav,Leonhardt,H1,3,Minor,92,30.46,3.02035456336179
Bach_WTC1_Leonhardt_Prelude_4_Major (H1).wav,Leonhardt,H1,4,Major,131,32.7559863945578,3.99926897093121
Bach_WTC1_Leonhardt_Prelude_4_Minor (H1).wav,Leonhardt,H1,4,Minor,159,30.4789795918367,5.21671007787234
Bach_WTC1_Leonhardt_Prelude_5_Major (H1).wav,Leonhardt,H1,5,Major,267,41.5349886621315,6.42831522531341
Bach_WTC1_Leonhardt_Prelude_5_Minor (H1).wav,Leonhardt,H1,5,Minor,245,43.7369841269841,5.60166652754743
Bach_WTC1_Leonhardt_Prelude_6_Major (H1).wav,Leonhardt,H1,6,Major,130,26.5509977324263,4.89623784801251
