,filename,mirmode_essentia-cqt,mirmode_essentia-sftf,mirmode_MIRtoolbox-std,mirmode_MIRtoolbox-dir,mirmode_librosa-cqt,mirmode_librosa-stft,mirmode_librosa-cens,mirmode_librosa-vqt
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_2_minor_bachAshk2006Deadpan.wav,-0.111494882,-0.057560385,0.112915249,0.112915249,-0.091349446,-0.270787646,-0.076356766,-0.124768053
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_3_Major_bachAshk2006Deadpan.wav,0.196505339,0.153756538,0.243428507,0.243428507,0.252991463,0.164183761,0.258973633,0.199262066
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_3_minor_bachAshk2006Deadpan.wav,-0.042104482,-0.215891319,-0.106106039,-0.106106039,-0.231098588,-0.212714683,-0.200799806,-0.127876917
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_4_Major_bachAshk2006Deadpan.wav,0.135251165,0.186410053,0.251066819,0.251066819,0.28311645,0.172149567,0.271180642,0.117461325
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_4_minor_bachAshk2006Deadpan.wav,-0.194305512,-0.256269856,-0.185476833,-0.185476833,0.002894241,-0.011605207,-0.008003297,-0.267072875
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_5_Major_bachAshk2006Deadpan.wav,-0.050844007,-0.00634943,-0.084804621,-0.084804622,-0.062784009,-0.227838874,-0.067031304,-0.094398847
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_5_minor_bachAshk2006Deadpan.wav,-0.06680981,-0.156358746,-0.068877084,-0.068877084,-0.144542191,-0.085861723,-0.14746006,-0.184405177
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_6_Major_bachAshk2006Deadpan.wav,0.03491686,0.124428547,0.159353164,0.159353164,0.172641049,0.055738523,0.193749072,0.056020136
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_6_minor_bachAshk2006Deadpan.wav,0.074748995,0.193692784,0.234002113,0.234002112,0.07992431,-0.015143501,0.035545737,0.109700763
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_7_Major_bachAshk2006Deadpan.wav,0.046407592,0.182135945,0.244557412,0.244557412,0.271557374,0.165794609,0.252799798,0.12914927
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_7_minor_bachAshk2006Deadpan.wav,-0.115346505,0.19086795,0.078299106,0.078299106,-0.034675271,0.051762578,-0.076730646,-0.118861095
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_8_Major_bachAshk2006Deadpan.wav,0.183062784,0.209151243,0.269930209,0.269930209,0.339483698,0.210581943,0.379412506,0.210775903
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_8_minor_bachAshk2006Deadpan.wav,0.056686771,0.076727626,0.109207827,0.109207827,0.083270448,0.125936421,0.106380798,0.126403125
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_9_Major_bachAshk2006Deadpan.wav,0.148799336,0.384521068,0.283681889,0.283681888,0.208612825,0.26132204,0.13738073,0.22845442
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_9_minor_bachAshk2006Deadpan.wav,-0.079217845,-0.378820828,-0.287602596,-0.287602596,-0.29503282,-0.197480077,-0.280714195,-0.171270572
0,audio/bachBarenboim2006/Bach_1_Barenboim_0_Major_bachBarenboim2006.wav,-0.123938149,-0.043287576,-0.201533429,-0.201533428,0.10217939,0.01385146,0.180255164,-0.137361635
0,audio/bachBarenboim2006/Bach_1_Barenboim_0_minor_bachBarenboim2006.wav,0.100631125,0.03896908,0.218432324,0.218432323,0.130590604,0.016522092,0.105724234,0.118626278
0,audio/bachBarenboim2006/Bach_1_Barenboim_10_Major_bachBarenboim2006.wav,0.117022005,0.242683421,0.120612221,0.12061222,0.251861069,0.033894319,0.219676398,0.177285383
0,audio/bachBarenboim2006/Bach_1_Barenboim_10_minor_bachBarenboim2006.wav,-0.129048234,-0.105481496,-0.080686807,-0.080686807,-0.27040936,-0.218811044,-0.263227477,-0.103399353
0,audio/bachBarenboim2006/Bach_1_Barenboim_11_Major_bachBarenboim2006.wav,-0.141102342,-0.114296901,0.048160996,0.048160996,-0.032724471,-0.140664108,-0.086753003,-0.084594717
0,audio/bachBarenboim2006/Bach_1_Barenboim_11_minor_bachBarenboim2006.wav,0.077301045,0.223991331,0.097093804,0.097093804,0.171168066,0.054146783,0.161161208,0.148371812
0,audio/bachBarenboim2006/Bach_1_Barenboim_1_Major_bachBarenboim2006.wav,0.04497288,0.152339107,0.212483568,0.212483568,0.082267494,0.178791835,0.041920818,-0.009514949
0,audio/bachBarenboim2006/Bach_1_Barenboim_1_minor_bachBarenboim2006.wav,-0.09660461,-0.087687884,-0.200587675,-0.200587676,-0.101457789,-0.164005312,-0.07279555,-0.048746244
0,audio/bachBarenboim2006/Bach_1_Barenboim_2_Major_bachBarenboim2006.wav,0.021779673,-0.119020669,0.000502534,0.000502533,0.26477492,-0.067154641,0.281373872,0.073391013
0,audio/bachBarenboim2006/Bach_1_Barenboim_2_minor_bachBarenboim2006.wav,0.135723278,0.117897066,0.193705198,0.193705197,0.050385505,0.028074543,0.022505883,0.188078976
0,audio/bachBarenboim2006/Bach_1_Barenboim_3_Major_bachBarenboim2006.wav,0.125791744,0.065284407,0.218267676,0.218267675,0.26007587,0.203877933,0.271662367,0.108248049
0,audio/bachBarenboim2006/Bach_1_Barenboim_3_minor_bachBarenboim2006.wav,-0.105795503,-0.216942139,-0.263707232,-0.263707231,-0.246624989,-0.177587539,-0.213061779,-0.190465502
0,audio/bachBarenboim2006/Bach_1_Barenboim_4_Major_bachBarenboim2006.wav,0.011319339,-0.006280088,0.092935643,0.092935643,0.238609714,0.159012454,0.230168715,0.017890983
0,audio/bachBarenboim2006/Bach_1_Barenboim_4_minor_bachBarenboim2006.wav,0.025576673,0.148333014,0.003423311,0.003423311,0.018644754,-0.053636179,0.001787104,0.004830065
0,audio/bachBarenboim2006/Bach_1_Barenboim_5_Major_bachBarenboim2006.wav,-0.031540301,-0.163137296,-0.217432527,-0.217432528,-0.08273767,-0.180511483,-0.030376931,-0.045520205
0,audio/bachBarenboim2006/Bach_1_Barenboim_5_minor_bachBarenboim2006.wav,-0.22681709,-0.225434093,-0.256477638,-0.256477638,-0.047394061,-0.31992439,-0.026088183,-0.313190414
0,audio/bachBarenboim2006/Bach_1_Barenboim_6_Major_bachBarenboim2006.wav,0.070954764,0.138140728,0.226767867,0.226767867,0.185341764,0.037449806,0.185977686,0.131895011
0,audio/bachBarenboim2006/Bach_1_Barenboim_6_minor_bachBarenboim2006.wav,0.008706329,-0.05611786,0.020219069,0.020219068,0.031852789,-0.028372352,0.018790621,-0.025817132
0,audio/bachBarenboim2006/Bach_1_Barenboim_7_Major_bachBarenboim2006.wav,-0.073057219,2.38E-05,0.205221044,0.205221044,0.14237031,0.232352681,0.102809725,-0.043875831
0,audio/bachBarenboim2006/Bach_1_Barenboim_7_minor_bachBarenboim2006.wav,0.047915632,0.0764815,-0.039694728,-0.039694729,0.006364204,0.005268708,0.040264013,0.008001522
0,audio/bachBarenboim2006/Bach_1_Barenboim_8_Major_bachBarenboim2006.wav,0.088557059,-0.047337732,0.252268868,0.252268868,0.272901988,0.224877132,0.306774449,0.029917174
0,audio/bachBarenboim2006/Bach_1_Barenboim_8_minor_bachBarenboim2006.wav,-0.217343964,-0.019066837,-0.145907118,-0.145907118,-0.121552009,-0.077319032,-0.074455238,-0.171759099
0,audio/bachBarenboim2006/Bach_1_Barenboim_9_Major_bachBarenboim2006.wav,-0.021204409,-0.132467606,-0.01625182,-0.01625182,0.142086269,-0.043693813,0.158811979,-0.011330015
0,audio/bachBarenboim2006/Bach_1_Barenboim_9_minor_bachBarenboim2006.wav,-0.263105448,-0.110256029,-0.251677116,-0.251677117,-0.374445833,-0.190442479,-0.394023029,-0.26645239
0,audio/bachDemaria2015/Bach_1_De-Maria_0_Major_bachDemaria2015.wav,-0.042947996,0.209383716,0.064211185,0.064211185,0.360586188,0.208523866,0.367499314,-0.034929168
0,audio/bachDemaria2015/Bach_1_De-Maria_0_minor_bachDemaria2015.wav,0.045657058,-0.098264115,-0.074918479,-0.07491848,-0.176179887,-0.061405338,-0.181066432,0.045912485
0,audio/bachDemaria2015/Bach_1_De-Maria_10_Major_bachDemaria2015.wav,0.030046975,0.077956771,0.140761018,0.140761018,0.116110121,-0.060793709,0.027175216,0.030539061
0,audio/bachDemaria2015/Bach_1_De-Maria_10_minor_bachDemaria2015.wav,-0.10373147,0.146104726,-0.046737678,-0.046737678,-0.243121789,-0.198499101,-0.21517672,-0.095540002
0,audio/bachDemaria2015/Bach_1_De-Maria_11_Major_bachDemaria2015.wav,0.255583839,0.006993179,0.132912751,0.132912751,0.066129576,0.018049189,0.070233153,0.232529681
0,audio/bachDemaria2015/Bach_1_De-Maria_11_minor_bachDemaria2015.wav,0.022246572,0.159217098,0.098399611,0.098399611,0.148205663,-0.134350389,0.163807334,0.128887773
0,audio/bachDemaria2015/Bach_1_De-Maria_1_Major_bachDemaria2015.wav,0.073223382,-0.001503132,0.207875953,0.207875954,0.023354823,0.143830781,-0.040213457,0.043274906
0,audio/bachDemaria2015/Bach_1_De-Maria_1_minor_bachDemaria2015.wav,-0.152795902,-0.194608634,-0.279124348,-0.279124348,-0.128005137,-0.226611723,-0.104563513,-0.125952749
0,audio/bachDemaria2015/Bach_1_De-Maria_2_Major_bachDemaria2015.wav,-0.099658371,-0.126748506,0.033625966,0.033625965,0.137273123,-0.003605772,0.162112999,-0.009860594
0,audio/bachDemaria2015/Bach_1_De-Maria_2_minor_bachDemaria2015.wav,-0.059441361,0.029826013,0.186050339,0.186050338,0.117176609,-0.110649603,0.059303998,0.016829891
