,filename,centroid_essentia-std,centroid_MIRtoolbox-std,centroid_librosa-std
0,audio/bachDemaria2015/Bach_1_De-Maria_2_minor_bachDemaria2015.wav,609.899353,779.4153038,607.4361831
0,audio/bachDemaria2015/Bach_1_De-Maria_3_Major_bachDemaria2015.wav,601.949707,816.9939998,710.1360225
0,audio/bachDemaria2015/Bach_1_De-Maria_3_minor_bachDemaria2015.wav,615.3131104,759.74531,645.188502
0,audio/bachDemaria2015/Bach_1_De-Maria_4_Major_bachDemaria2015.wav,588.5856323,745.5847694,616.1697295
0,audio/bachDemaria2015/Bach_1_De-Maria_4_minor_bachDemaria2015.wav,675.3779297,789.4850284,609.1909212
0,audio/bachDemaria2015/Bach_1_De-Maria_5_Major_bachDemaria2015.wav,492.9508667,698.9155407,649.656603
0,audio/bachDemaria2015/Bach_1_De-Maria_5_minor_bachDemaria2015.wav,450.5229797,619.6082255,562.1902372
0,audio/bachDemaria2015/Bach_1_De-Maria_6_Major_bachDemaria2015.wav,590.210022,718.0105113,608.704294
0,audio/bachDemaria2015/Bach_1_De-Maria_6_minor_bachDemaria2015.wav,583.317627,778.5751923,721.123921
0,audio/bachDemaria2015/Bach_1_De-Maria_7_Major_bachDemaria2015.wav,560.0917358,796.4225204,736.3755262
0,audio/bachDemaria2015/Bach_1_De-Maria_7_minor_bachDemaria2015.wav,535.1903076,683.0425962,597.7504405
0,audio/bachDemaria2015/Bach_1_De-Maria_8_Major_bachDemaria2015.wav,658.4468994,929.8934612,812.1878537
0,audio/bachDemaria2015/Bach_1_De-Maria_8_minor_bachDemaria2015.wav,476.9197388,682.6300757,594.0984716
0,audio/bachDemaria2015/Bach_1_De-Maria_9_Major_bachDemaria2015.wav,592.2195435,820.9813756,701.0081284
0,audio/bachDemaria2015/Bach_1_De-Maria_9_minor_bachDemaria2015.wav,635.5552979,899.9293115,827.4246999
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_0_Major_bachDemaria2015Deadpan.wav,721.255249,1428.511572,870.2770145
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_0_minor_bachDemaria2015Deadpan.wav,604.7296753,958.8473674,837.9102165
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_10_Major_bachDemaria2015Deadpan.wav,588.7744141,941.0646168,799.6211219
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_10_minor_bachDemaria2015Deadpan.wav,662.1190796,1185.661422,880.2715528
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_11_Major_bachDemaria2015Deadpan.wav,619.1690063,973.021268,851.3797865
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_11_minor_bachDemaria2015Deadpan.wav,582.1155396,955.5184558,795.8448173
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_1_Major_bachDemaria2015Deadpan.wav,764.9341431,1150.205912,936.336812
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_1_minor_bachDemaria2015Deadpan.wav,643.4208374,1037.505283,838.878909
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_2_Major_bachDemaria2015Deadpan.wav,706.1615601,1038.324979,905.1270663
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_2_minor_bachDemaria2015Deadpan.wav,635.6220093,1019.292599,832.2971102
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_3_Major_bachDemaria2015Deadpan.wav,646.1897583,987.3796886,846.7933664
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_3_minor_bachDemaria2015Deadpan.wav,606.1339111,1028.124341,813.9494292
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_4_Major_bachDemaria2015Deadpan.wav,658.3776855,1027.482192,855.6200859
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_4_minor_bachDemaria2015Deadpan.wav,618.5651855,1035.043319,839.281065
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_5_Major_bachDemaria2015Deadpan.wav,640.4315186,962.7297449,846.1509348
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_5_minor_bachDemaria2015Deadpan.wav,606.0547485,980.1565269,811.5585487
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_6_Major_bachDemaria2015Deadpan.wav,663.574585,1100.250693,875.7201724
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_6_minor_bachDemaria2015Deadpan.wav,634.7183228,950.9700887,852.4806587
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_7_Major_bachDemaria2015Deadpan.wav,642.7214355,919.4991585,835.7976465
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_7_minor_bachDemaria2015Deadpan.wav,635.2973022,1051.72116,859.8947829
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_8_Major_bachDemaria2015Deadpan.wav,671.4963989,977.9306652,905.3468019
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_8_minor_bachDemaria2015Deadpan.wav,632.201416,990.5235169,842.7067231
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_9_Major_bachDemaria2015Deadpan.wav,665.4350586,977.5483178,864.206685
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_9_minor_bachDemaria2015Deadpan.wav,646.0819702,948.7931277,861.3620629
