filename,artist,performance,chroma,mode,mode_val,mode_valsum,chromagram_1,chromagram_2,chromagram_3,chromagram_4,chromagram_5,chromagram_6,chromagram_7,chromagram_8,chromagram_9,chromagram_10,chromagram_11,chromagram_12,krumhansl_1,krumhansl_2,krumhansl_3,krumhansl_4,krumhansl_5,krumhansl_6,krumhansl_7,krumhansl_8,krumhansl_9,krumhansl_10,krumhansl_11,krumhansl_12,krumhansl_13,krumhansl_14,krumhansl_15,krumhansl_16,krumhansl_17,krumhansl_18,krumhansl_19,krumhansl_20,krumhansl_21,krumhansl_22,krumhansl_23,krumhansl_24
Bach_WTC1_De-Maria_Prelude_2_Major (S1).wav,De-Maria,S1,2,Major,0.283623668241529,4.30533890433203,0.187669745828931,0.57902533254559,0.548993531849276,0.349353642956171,0.559812767157244,0.205434999209628,0.40855029099801,0.330794851812958,0.714525489421021,0.999999999296141,0.278563302693777,0.543641190484815,-0.0498424368167498,-0.195638729513283,0.658320367381592,-0.571687476880355,0.419467104782528,-0.172966175623868,-0.238126768367252,0.235204515812209,-0.354101619565916,0.807584621034665,-0.455854734850758,-0.0823586673928129,-0.492822841152754,0.382190349653863,0.274871786277658,-0.485130986492565,0.187141345182994,-0.431722791899679,0.523960952793136,-0.239016125675065,-0.0537054993691223,0.446647171671209,-0.443324523392286,0.33091116240261
Bach_WTC1_De-Maria_Prelude_2_Minor (P1).wav,De-Maria,P1,2,Minor,0.199582359456568,5.41794297709591,0.999999998831766,0.473735599367948,0.817870087797759,0.406276247494991,0.784675063587522,0.966966911951264,0.362139252974106,0.614859953599255,0.324520757318141,0.873647231678263,0.817797926052729,0.45262711920555,0.517096988478472,-0.198269474381584,-0.0938224821927182,0.221552189089698,-0.569506423620154,0.927023815328077,-0.533632499314077,0.010068865083587,-0.0464040542397025,-0.178876275620826,0.745854272825053,-0.801084921435825,0.313934398710079,-0.50452914307396,0.727441455871509,-0.335752612709875,-0.178452922624835,0.42364752854989,-0.419732604606281,0.432075078517092,-0.723348076255453,0.468946217447151,0.283930153331379,-0.488159473156696
Bach_WTC1_De-Maria_Prelude_2_Minor (S1).wav,De-Maria,S1,2,Minor,0.091956504213911,4.69769889825547,0.758744043202119,0.278891361053653,0.648563300928406,0.381168015048427,0.55921624647088,0.673046097640176,0.302010075037918,0.534130387334563,0.382823291602591,0.999999999353165,0.903732943415361,0.298555812459403,0.28992750779226,-0.196569090063345,-0.0025915463717406,0.340430601859445,-0.560254186741144,0.73904818627648,-0.450915542047206,-0.0527953947618356,0.0236589078456072,-0.111402372751023,0.72438336301925,-0.742920434056748,0.288626268927084,-0.488643455744493,0.647091682062569,-0.175741996060681,-0.32080505858414,0.242026747946014,-0.316012575950822,0.481394952631958,-0.582547866864529,0.400133494672565,0.288310329398567,-0.463832522434092
Bach_WTC1_De-Maria_Prelude_3_Major (P1).wav,De-Maria,P1,3,Major,-0.0305258301438978,5.72756947175694,0.999999998980832,0.352024522225795,0.767233228239454,0.754070791402991,0.277414265087352,0.706312966182428,0.228012382121909,0.642965263174641,0.470982426324254,0.603891769276934,0.727433387124189,0.2668011091935,0.221159445012944,0.137083862560574,-0.438761646113956,0.74576919316285,-0.790118415252553,0.558558931989138,-0.291872297929301,-0.157242578316993,0.590262638240937,-0.695625532208014,0.718283646957079,-0.597497248102707,0.776295023306748,-0.541277686814733,0.290544897029011,0.152039289368144,-0.537741256915252,0.629194140371568,-0.645728676864541,0.473442345124982,-0.227054884249916,-0.0699802079280194,0.345409398747335,-0.645142381175325
Bach_WTC1_De-Maria_Prelude_3_Major (S1).wav,De-Maria,S1,3,Major,0.223088291619351,5.19641068931051,0.81087690700163,0.330483087573997,0.888158177053515,0.834985919155165,0.2886250206837,0.791418964034317,0.279364935005201,0.685303778988935,0.642332612345219,0.804513241391681,0.999999999212675,0.264241693737335,-0.0398148143577539,0.158427358981966,-0.314192105566895,0.786052828226485,-0.762185363657482,0.425586854800986,-0.195401197261246,-0.2266661274274,0.532370599066433,-0.590037756753905,0.790338429095122,-0.56447870514631,0.567250137475771,-0.520755873751307,0.344581942693683,0.259634115593543,-0.649652740590246,0.47088205531546,-0.539034604624309,0.553033812855465,-0.155122596623087,-0.195199176057327,0.434118817654574,-0.56973588994222
Bach_WTC1_De-Maria_Prelude_3_Minor (P1).wav,De-Maria,P1,3,Minor,0.10194685010467,4.80454258851379,0.178756153090044,0.593311606432978,0.320816755165489,0.810542795668442,0.524820058672368,0.354199418761787,0.999999998651242,0.264309742810912,0.41406832258582,0.236773285690205,0.680690313798525,0.543389993818132,-0.697785633416082,0.130012064284961,0.0605077336713705,-0.0829521200833043,0.389986874904011,-0.734384000776349,0.747950455771612,-0.297694926623068,-0.148977202387082,0.133500364882384,-0.332414015179697,0.832250404951244,-0.442822136262713,0.249452049284603,-0.568470028782396,0.730303554846574,-0.0156256478701161,-0.534307124951399,0.497485003098138,-0.325185587788622,0.46350408506197,-0.53046810953333,0.06963995872031,0.406493984176982
Bach_WTC1_De-Maria_Prelude_3_Minor (S1).wav,De-Maria,S1,3,Minor,-0.0945950881412186,4.48343150753553,0.178268490055987,0.508974365290882,0.403714276492463,0.624878053375442,0.283624510773574,0.41027430311243,0.576371326399439,0.337472228592813,0.476649214049183,0.317637283937884,0.999999999070322,0.662431039857137,-0.773930815137415,0.19403469425355,-0.134637433613857,0.283701581698672,0.102877208034494,-0.570697446857149,0.668674133517621,-0.349210137139367,0.0164133965347937,-0.156215320853546,0.124556636600621,0.594433502961584,-0.296740490689296,0.0504585045790496,-0.392768258772985,0.763269221658839,-0.256799259373434,-0.372299900576025,0.0873442469172526,0.0185949689772938,0.453588401575905,-0.720884519501753,0.406136768521203,0.26010031668395
Bach_WTC1_De-Maria_Prelude_4_Major (P1).wav,De-Maria,P1,4,Major,0.128270542234524,5.10761640508966,0.166473592616888,0.808853857855173,0.412803937461556,0.530006388137512,0.999999998819507,0.233854511247377,0.858135745889291,0.360703215456011,0.510679495400255,0.290608484337131,0.447152594165384,0.586538811451358,-0.260020718162065,-0.0829012528722396,0.330077809746134,-0.546960037143688,0.71571608937449,-0.642468543627727,0.344251344974185,0.0444402344680932,-0.434158730138781,0.612543838596738,-0.661663043488872,0.581143008273731,-0.627230803645368,0.587445547139966,-0.393217359417433,0.0414741900369363,0.493550275286675,-0.63249744734106,0.587173960283984,-0.419439268452845,0.225562705942145,-0.037455350333843,-0.279251015814262,0.453884566315105
Bach_WTC1_De-Maria_Prelude_4_Major (S1).wav,De-Maria,S1,4,Major,0.210591372340112,4.63434402088445,0.267283024404051,0.818106442373637,0.647260295619721,0.730176101591508,0.999999998979213,0.370500754838526,0.792694138877409,0.488768708733414,0.790059846128385,0.559554158408702,0.893543662850101,0.941104584417984,-0.460279885925539,-0.136654565782611,0.285555795727913,-0.322435690523632,0.733151564679155,-0.753681840932384,0.318983761860406,0.0130335629249009,-0.351387522679506,0.529570257620007,-0.494234747800724,0.638379310832013,-0.620562899081193,0.522560192339043,-0.381060807133082,0.170687598470267,0.411578139530871,-0.711654798218714,0.380461317017682,-0.295856841689517,0.435331227988113,-0.197070344529049,-0.219624133012619,0.505211348318196
Bach_WTC1_De-Maria_Prelude_4_Minor (P1).wav,De-Maria,P1,4,Minor,-0.0382189103806202,5.53952492619943,0.840595101618653,0.258305077166137,0.478059366650665,0.289164329193901,0.99999999856598,0.213013287682546,0.814240579334769,0.853651737611747,0.282599857836182,0.908090518309896,0.277557329515654,0.840604202159637,0.743994224759452,-0.810414063764575,0.449960955663763,-0.369058372736643,0.204224695614633,0.267705322853982,-0.582169365950383,0.687453457735396,-0.558571058125329,0.323347155197043,-0.24137543387503,-0.115097517372308,0.14111958446021,-0.249357744514034,0.18670540445375,-0.566479108451402,0.75995480715461,-0.380138810734446,0.0132132847758624,0.10459699181442,-0.381012633927924,0.782213135140072,-0.71688637024133,0.306071460070212
Bach_WTC1_De-Maria_Prelude_4_Minor (S1).wav,De-Maria,S1,4,Minor,-0.177354218867136,5.04010684329118,0.476694180429987,0.292401871379465,0.39116327385171,0.240249888733022,0.525992007468027,0.218191935747254,0.52058821850295,0.613688777695269,0.390508582863196,0.999999999288214,0.220806488650989,0.598151599025255,0.529289186631224,-0.640764465884773,0.603522579428466,-0.421892525382561,0.131591154775624,0.267104251893013,-0.556871099683016,0.588194026171517,-0.505717543568983,0.491392673215034,-0.231506485512968,-0.254341752082577,-0.017739212829669,-0.169196889831999,0.362942101643199,-0.614532213947359,0.46068663060188,-0.36896750979443,0.20383646196755,0.07917423245156,-0.389225186014831,0.780876798295602,-0.626219785940197,0.298364573398693
