,filename,bpm_essentia-percival,bpm_essentia-degara,bpm_essentia-multifeature,bpm_MIRtoolbox-classical,bpm_MIRtoolbox-metre,bpm_librosa-beattrack,bpm_librosa-onsets
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_6_minor_bachAshk2006Deadpan.wav,100.3489075,100.1634979,100.1634979,100.1088381,100.1010955,99.38401442,99.38401442
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_7_Major_bachAshk2006Deadpan.wav,96.59754944,96.00086212,96.72634125,193.6176128,96.7660861,97.50884434,97.50884434
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_7_minor_bachAshk2006Deadpan.wav,76.5625,153.5467224,153.5467224,153.4920167,153.6336377,77.13386194,151.9990809
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_8_Major_bachAshk2006Deadpan.wav,78.60028839,117.95047,117.95047,78.56054766,117.8735295,78.30255682,117.4538352
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_8_minor_bachAshk2006Deadpan.wav,96.59754944,96.48822784,96.48822784,192.7635045,96.50953251,95.703125,95.703125
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_9_Major_bachAshk2006Deadpan.wav,77.13386536,153.930603,153.930603,102.6843846,153.9179367,151.9990809,151.9990809
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_9_minor_bachAshk2006Deadpan.wav,128.3967438,128.0870361,128.6909943,128.7167587,128.1395541,129.1992188,129.1992188
0,audio/bachBarenboim2006/Bach_1_Barenboim_0_Major_bachBarenboim2006.wav,90.66611481,122.3414764,122.8607788,121.16076,91.15360631,178.5714286,120.9677419
0,audio/bachBarenboim2006/Bach_1_Barenboim_0_minor_bachBarenboim2006.wav,131.6679993,130.1159973,131.6268158,133.3819216,66.3396542,66.96428571,133.9285714
0,audio/bachBarenboim2006/Bach_1_Barenboim_10_Major_bachBarenboim2006.wav,89.1029129,163.2355347,178.2057648,178.7005908,176.7002358,170.4545455,120.9677419
0,audio/bachBarenboim2006/Bach_1_Barenboim_10_minor_bachBarenboim2006.wav,85.42097473,81.96173096,81.96173096,87.32469342,86.21921407,87.20930233,163.0434783
0,audio/bachBarenboim2006/Bach_1_Barenboim_11_Major_bachBarenboim2006.wav,128.3967438,128.4702606,128.8376465,128.2749129,51.36514202,117.1875,129.3103448
0,audio/bachBarenboim2006/Bach_1_Barenboim_11_minor_bachBarenboim2006.wav,99.38401794,98.73104858,98.73104858,98.01806942,48.97885446,48.7012987,98.68421053
0,audio/bachBarenboim2006/Bach_1_Barenboim_1_Major_bachBarenboim2006.wav,82.6875,163.73172,163.73172,130.4448995,85.89322582,125,125
0,audio/bachBarenboim2006/Bach_1_Barenboim_1_minor_bachBarenboim2006.wav,89.87771606,172.265564,165.5510406,167.6508677,87.48631379,144.2307692,178.5714286
0,audio/bachBarenboim2006/Bach_1_Barenboim_2_Major_bachBarenboim2006.wav,68.44992065,135.1848755,136.5032043,137.7787476,135.828282,68.18181818,133.9285714
0,audio/bachBarenboim2006/Bach_1_Barenboim_2_minor_bachBarenboim2006.wav,99.38401794,132.2694092,132.2694092,129.9009683,101.5946569,81.52173913,133.9285714
0,audio/bachBarenboim2006/Bach_1_Barenboim_3_Major_bachBarenboim2006.wav,72.78829193,126.5050354,151.7276001,141.438575,141.2491031,144.2307692,144.2307692
