composer,set,setCode,pieceNumber,compSet,keyName,mode,keyChroma,pieceID,snippitName,,pieceTitle,excerptID,pickUpLength,notes
Debussy,1,debussy-1,9,debussy1.9,NA,NA,NA,NNA,debussy1.nana,,La sérénade interrompue,210,,
Debussy,1,debussy-1,10,debussy1.10,NA,NA,NA,NNA,debussy1.nana,,La cathédrale engloutie,211,,
Debussy,1,debussy-1,11,debussy1.11,NA,NA,NA,NNA,debussy1.nana,,La danse de Puck,212,,
Debussy,1,debussy-1,12,debussy1.12,NA,NA,NA,NNA,debussy1.nana,,Minstrels,213,,
Debussy,1,debussy-1,13,debussy1.13,NA,NA,NA,NNA,debussy1.nana,,Brouillards,214,,
Debussy,1,debussy-1,14,debussy1.14,NA,NA,NA,NNA,debussy1.nana,,Feuilles mortes,215,,
Debussy,1,debussy-1,15,debussy1.15,NA,NA,NA,NNA,debussy1.nana,,La Puerta del Vino,216,,
Debussy,1,debussy-1,16,debussy1.16,NA,NA,NA,NNA,debussy1.nana,,Les Fées sont d'exquises danseuses,217,,
Debussy,1,debussy-1,17,debussy1.17,NA,NA,NA,NNA,debussy1.nana,,Bruyères,218,0.165,
Debussy,1,debussy-1,18,debussy1.18,NA,NA,NA,NNA,debussy1.nana,,Géneral Lavine - excentrique,219,0.1875,
Debussy,1,debussy-1,19,debussy1.19,NA,NA,NA,NNA,debussy1.nana,,La terrasse des audiences du claire de lune,220,,
Debussy,1,debussy-1,20,debussy1.20,NA,NA,NA,NNA,debussy1.nana,,Ondine,221,,
Debussy,1,debussy-1,21,debussy1.21,NA,NA,NA,NNA,debussy1.nana,,Hommage à S. Pickwick Esquire,222,,
Debussy,1,debussy-1,22,debussy1.22,NA,NA,NA,NNA,debussy1.nana,,Canope,223,,
Debussy,1,debussy-1,23,debussy1.23,NA,NA,NA,NNA,debussy1.nana,,Les tierces alternées,224,,
Debussy,1,debussy-1,24,debussy1.24,NA,NA,NA,NNA,debussy1.nana,,Feux d'artifice,225,,
Fischer,1,fischer-1,1,fischer1.1,C,Major,0,M0,fischer1.0maj,,,227,,
Fischer,1,fischer-1,2,fischer1.2,C#,minor,1,m1,fischer1.1min,,,228,,
Fischer,1,fischer-1,3,fischer1.3,D,minor,2,m2,fischer1.2min,,,229,,
Fischer,1,fischer-1,4,fischer1.4,D,Major,2,M2,fischer1.2maj,,,230,,
Fischer,1,fischer-1,5,fischer1.5,Eb,Major,3,M3,fischer1.3maj,,,231,,
Fischer,1,fischer-1,6,fischer1.6,Eb,Phrygian,3,P3,fischer1.3phr,,Praeludiam No 6 phrygisch,232,,
Fischer,1,fischer-1,7,fischer1.7,E,minor,4,m4,fischer1.4min,,,233,,
Fischer,1,fischer-1,8,fischer1.8,E,Major,4,M4,fischer1.4maj,,,234,,
Fischer,1,fischer-1,9,fischer1.9,F,minor,5,m5,fischer1.5min,,,235,,
Fischer,1,fischer-1,10,fischer1.10,F,Major,5,M5,fischer1.5maj,,,236,,
Fischer,1,fischer-1,11,fischer1.11,F#,minor,6,m6,fischer1.6min,,,237,,
Fischer,1,fischer-1,12,fischer1.12,G,minor,7,m7,fischer1.7min,,,238,,
Fischer,1,fischer-1,13,fischer1.13,G,Major,7,M7,fischer1.7maj,,,239,,
Fischer,1,fischer-1,14,fischer1.14,Ab,Major,8,M8,fischer1.8maj,,,240,,
Fischer,1,fischer-1,15,fischer1.15,A,minor,9,m9,fischer1.9min,,,241,,
Fischer,1,fischer-1,16,fischer1.16,A,Major,9,M9,fischer1.9maj,,,242,,
Fischer,1,fischer-1,17,fischer1.17,Bb,Major,10,M10,fischer1.10maj,,,243,,
Fischer,1,fischer-1,18,fischer1.18,B,minor,11,m11,fischer1.11min,,,244,,
Fischer,1,fischer-1,19,fischer1.19,B,Major,11,M11,fischer1.11maj,,,245,,
Fischer,1,fischer-1,20,fischer1.20,C,minor,0,m0,fischer1.0min,,,246,,
Guillet,1,guillet-1,1,guillet1.1,NA,NA,NA,NNA,guillet1.nana,,,248,,
Guillet,1,guillet-1,2,guillet1.2,NA,NA,NA,NNA,guillet1.nana,,,249,,
Guillet,1,guillet-1,3,guillet1.3,NA,NA,NA,NNA,guillet1.nana,,,250,,
Guillet,1,guillet-1,4,guillet1.4,NA,NA,NA,NNA,guillet1.nana,,,251,,
Guillet,1,guillet-1,5,guillet1.5,NA,NA,NA,NNA,guillet1.nana,,,252,,
Guillet,1,guillet-1,6,guillet1.6,NA,NA,NA,NNA,guillet1.nana,,,253,,
Guillet,1,guillet-1,7,guillet1.7,NA,NA,NA,NNA,guillet1.nana,,,254,,
Guillet,1,guillet-1,8,guillet1.8,NA,NA,NA,NNA,guillet1.nana,,,255,,
Guillet,1,guillet-1,9,guillet1.9,NA,NA,NA,NNA,guillet1.nana,,,256,,
Guillet,1,guillet-1,10,guillet1.10,NA,NA,NA,NNA,guillet1.nana,,,257,,
Guillet,1,guillet-1,11,guillet1.11,NA,NA,NA,NNA,guillet1.nana,,,258,,
Guillet,1,guillet-1,12,guillet1.12,NA,NA,NA,NNA,guillet1.nana,,,259,,
Guillet,1,guillet-1,13,guillet1.13,NA,NA,NA,NNA,guillet1.nana,,,260,,
Guillet,1,guillet-1,14,guillet1.14,NA,NA,NA,NNA,guillet1.nana,,,261,,
Guillet,1,guillet-1,15,guillet1.15,NA,NA,NA,NNA,guillet1.nana,,,262,,
Guillet,1,guillet-1,16,guillet1.16,NA,NA,NA,NNA,guillet1.nana,,,263,,
Guillet,1,guillet-1,17,guillet1.17,NA,NA,NA,NNA,guillet1.nana,,,264,,
Guillet,1,guillet-1,18,guillet1.18,NA,NA,NA,NNA,guillet1.nana,,,265,,
Guillet,1,guillet-1,19,guillet1.19,NA,NA,NA,NNA,guillet1.nana,,,266,,
Guillet,1,guillet-1,20,guillet1.20,NA,NA,NA,NNA,guillet1.nana,,,267,,
Guillet,1,guillet-1,21,guillet1.21,NA,NA,NA,NNA,guillet1.nana,,,268,,
Guillet,1,guillet-1,22,guillet1.22,NA,NA,NA,NNA,guillet1.nana,,,269,,
Guillet,1,guillet-1,23,guillet1.23,NA,NA,NA,NNA,guillet1.nana,,,270,,
Guillet,1,guillet-1,24,guillet1.24,NA,NA,NA,NNA,guillet1.nana,,,271,,
Hummel,1,hummel-1,1,hummel1.1,C,Major,0,M0,hummel1.0maj,,,273,,
Hummel,1,hummel-1,2,hummel1.2,A,minor,9,m9,hummel1.9min,,,274,,
Hummel,1,hummel-1,3,hummel1.3,G,Major,7,M7,hummel1.7maj,,,275,,
Hummel,1,hummel-1,4,hummel1.4,E,minor,4,m4,hummel1.4min,,,276,,
Hummel,1,hummel-1,5,hummel1.5,D,Major,2,M2,hummel1.2maj,,,277,,
Hummel,1,hummel-1,6,hummel1.6,B,minor,11,m11,hummel1.11min,,,278,,
Hummel,1,hummel-1,7,hummel1.7,A,Major,9,M9,hummel1.9maj,,,279,,
Hummel,1,hummel-1,8,hummel1.8,F#,minor,6,m6,hummel1.6min,,,280,,
Hummel,1,hummel-1,9,hummel1.9,E,Major,4,M4,hummel1.4maj,,,281,,
Hummel,1,hummel-1,10,hummel1.10,C#,minor,1,m1,hummel1.1min,,,282,,
Hummel,1,hummel-1,11,hummel1.11,B,Major,11,M11,hummel1.11maj,,,283,,
Hummel,1,hummel-1,12,hummel1.12,G#,minor,8,m8,hummel1.8min,,,284,,
Hummel,1,hummel-1,13,hummel1.13,F#,Major,6,M6,hummel1.6maj,,,285,,
Hummel,1,hummel-1,14,hummel1.14,Eb,minor,3,m3,hummel1.3min,,,286,,
Hummel,1,hummel-1,15,hummel1.15,Db,Major,1,M1,hummel1.1maj,,,287,,
Hummel,1,hummel-1,16,hummel1.16,Bb,minor,10,m10,hummel1.10min,,,288,,
Hummel,1,hummel-1,17,hummel1.17,Ab,Major,8,M8,hummel1.8maj,,,289,,
Hummel,1,hummel-1,18,hummel1.18,F,minor,5,m5,hummel1.5min,,,290,,
Hummel,1,hummel-1,19,hummel1.19,Eb,Major,3,M3,hummel1.3maj,,,291,,
Hummel,1,hummel-1,20,hummel1.20,C,minor,0,m0,hummel1.0min,,,292,,
Hummel,1,hummel-1,21,hummel1.21,Bb,Major,10,M10,hummel1.10maj,,,293,,
Hummel,1,hummel-1,22,hummel1.22,G,minor,7,m7,hummel1.7min,,,294,,
Hummel,1,hummel-1,23,hummel1.23,F,Major,5,M5,hummel1.5maj,,,295,,
Hummel,1,hummel-1,24,hummel1.24,Db,minor,1,m1,hummel1.1min,,,296,,
Hummel,2,hummel-2,1,hummel2.1,C,Major,0,M0,hummel2.0maj,,,298,,
Hummel,2,hummel-2,2,hummel2.2,C,minor,0,m0,hummel2.0min,,,299,,
Hummel,2,hummel-2,3,hummel2.3,G,Major,7,M7,hummel2.7maj,,,300,,
Hummel,2,hummel-2,4,hummel2.4,G,minor,7,m7,hummel2.7min,,,301,0.5,
Hummel,2,hummel-2,5,hummel2.5,D,Major,2,M2,hummel2.2maj,,,302,,
Hummel,2,hummel-2,6,hummel2.6,D,minor,2,m2,hummel2.2min,,,303,,
Hummel,2,hummel-2,7,hummel2.7,A,Major,9,M9,hummel2.9maj,,,304,,
Hummel,2,hummel-2,8,hummel2.8,A,minor,9,m9,hummel2.9min,,,305,,
Hummel,2,hummel-2,9,hummel2.9,E,Major,4,M4,hummel2.4maj,,,306,,
Hummel,2,hummel-2,10,hummel2.10,E,minor,4,m4,hummel2.4min,,,307,,
Hummel,2,hummel-2,11,hummel2.11,B,Major,11,M11,hummel2.11maj,,,308,,
Hummel,2,hummel-2,12,hummel2.12,B,minor,11,m11,hummel2.11min,,,309,,
Hummel,2,hummel-2,13,hummel2.13,F#,Major,6,M6,hummel2.6maj,,,310,,
Hummel,2,hummel-2,14,hummel2.14,F#,minor,6,m6,hummel2.6min,,,311,,
Hummel,2,hummel-2,15,hummel2.15,Db,Major,1,M1,hummel2.1maj,,,312,0.5,
Hummel,2,hummel-2,16,hummel2.16,C#,minor,1,m1,hummel2.1min,,,313,,
Hummel,2,hummel-2,17,hummel2.17,Ab,Major,8,M8,hummel2.8maj,,,314,,
Hummel,2,hummel-2,18,hummel2.18,G#,minor,8,m8,hummel2.8min,,,315,0.25,Treble and bass line have different time signatures
Hummel,2,hummel-2,19,hummel2.19,Eb,Major,3,M3,hummel2.3maj,,,316,0.5,
Hummel,2,hummel-2,20,hummel2.20,Eb,minor,3,m3,hummel2.3min,,,317,,
Hummel,2,hummel-2,21,hummel2.21,Bb,Major,10,M10,hummel2.10maj,,,318,,
Hummel,2,hummel-2,22,hummel2.22,Bb,minor,10,m10,hummel2.10min,,,319,,
Hummel,2,hummel-2,23,hummel2.23,F,Major,5,M5,hummel2.5maj,,,320,,
Hummel,2,hummel-2,24,hummel2.24,F,minor,5,m5,hummel2.5min,,,321,,
Kalkbrenner,1,kalkbrenner-1,1,kalkbrenner1.1,C,Major,0,M0,kalkbren1.0maj,,,323,,
Kalkbrenner,1,kalkbrenner-1,2,kalkbrenner1.2,C,minor,0,m0,kalkbren1.0min,,,324,,
Kalkbrenner,1,kalkbrenner-1,3,kalkbrenner1.3,Db,Major,1,M1,kalkbren1.1maj,,,325,,
Kalkbrenner,1,kalkbrenner-1,4,kalkbrenner1.4,C#,minor,1,m1,kalkbren1.1min,,,326,,
Kalkbrenner,1,kalkbrenner-1,5,kalkbrenner1.5,D,Major,2,M2,kalkbren1.2maj,,,327,,
Kalkbrenner,1,kalkbrenner-1,6,kalkbrenner1.6,D,minor,2,m2,kalkbren1.2min,,,328,,
Kalkbrenner,1,kalkbrenner-1,7,kalkbrenner1.7,Eb,Major,3,M3,kalkbren1.3maj,,,329,,
